team,player_name,position,role_rating,expected_minutes,fitness_status,injury_risk,goals_xg
Argentina,TBD primary forward,Forward,88,260,available,0.08,1.9
Brazil,TBD primary forward,Forward,89,255,available,0.09,1.8
France,TBD primary forward,Forward,90,260,available,0.08,2.0
Portugal,TBD primary forward,Forward,89,250,available,0.09,1.8
England,TBD primary forward,Forward,88,255,available,0.08,1.7
Spain,TBD primary creator,Midfielder,88,260,available,0.07,0.8
Germany,TBD primary creator,Midfielder,86,250,available,0.08,0.7
Netherlands,TBD defensive leader,Defender,85,270,available,0.06,0.3
Morocco,TBD defensive leader,Defender,83,270,available,0.07,0.2
Japan,TBD primary creator,Midfielder,82,245,available,0.07,0.6
USA,TBD primary winger,Forward,80,240,monitor,0.16,1.0
Mexico,TBD primary forward,Forward,78,235,available,0.1,0.9
